username,status,ip
admin,failed,192.168.1.10
admin,failed,192.168.1.11
admin,failed,192.168.1.12
user1,success,10.0.0.5
user1,failed,10.0.0.8
user2,failed,203.0.113.45
user2,failed,203.0.113.45
user2,failed,203.0.113.45
guest,failed,198.51.100.23
test,failed,45.33.32.156
root,failed,185.220.101.17
root,failed,185.220.101.17
root,failed,185.220.101.17
service_account,success,172.16.0.20
developer,success,192.168.50.4
developer,failed,192.168.50.99
vpnuser,failed,91.240.118.172
vpnuser,failed,91.240.118.172
vpnuser,success,91.240.118.172
